department_id,department_name,current_manager_id,location_id
1,Streamline Robust Users,3812,17
2,Harness Cross-Media Markets,9864,1
3,Re-Intermediate End-To-End Systems,9196,7
4,Incentivize Dot-Com Bandwidth,8929,14
5,Re-Contextualize Revolutionary Info-Mediaries,3612,15
6,E-Enable Leading-Edge Systems,9655,9
7,Envisioneer Turn-Key Architectures,107,6
8,Engage Bleeding-Edge E-Markets,6925,11
9,Matrix Web-Enabled Bandwidth,4553,5
10,Repurpose Strategic Schemas,3528,11
11,Extend Robust Deliverables,1675,3
12,Disintermediate Web-Enabled Channels,6225,4
13,Seize Front-End Partnerships,5882,12
14,Repurpose Web-Enabled Convergence,9892,9
15,Generate Granular E-Business,712,15
16,Utilize Wireless E-Services,8786,4
17,Disintermediate Global Info-Mediaries,6202,3
18,Extend Bleeding-Edge Paradigms,9045,10
19,Drive Cross-Media Infrastructures,5926,19
20,Disintermediate Next-Generation Action-Items,3151,3
21,Transition Transparent Initiatives,751,8
22,Enhance Best-Of-Breed E-Tailers,4742,3
23,Synthesize Distributed Partnerships,3815,4
24,Whiteboard Best-Of-Breed Paradigms,6228,9
25,Enhance Wireless Technologies,7429,12
26,Implement Magnetic Platforms,2665,12
27,Unleash Vertical Solutions,5821,7
28,Iterate Visionary Content,4375,3
29,Strategize Frictionless Info-Mediaries,9981,6
30,Embrace Sticky Relationships,8752,8
31,Cultivate Robust Architectures,2678,15
32,Synthesize Innovative Platforms,6217,9
33,Re-Contextualize Cutting-Edge Users,9126,8
34,Incentivize Best-Of-Breed Web Services,5314,2
35,Facilitate Synergistic Portals,3753,2
36,Extend User-Centric Networks,5169,13
37,Enable Compelling Deliverables,4387,3
38,Aggregate Granular Supply-Chains,3457,19
39,Re-Intermediate End-To-End Supply-Chains,5156,7
40,Deploy Front-End Vortals,8180,13
41,Synergize Extensible Deliverables,7518,5
42,Empower Extensible E-Commerce,4340,5
43,Disintermediate Wireless E-Commerce,4041,18
44,Enable Holistic Technologies,8831,9
45,Engage Bleeding-Edge Action-Items,9578,14
46,Iterate Sticky E-Business,9561,13
47,Revolutionize Global Vortals,5931,8
48,Matrix Plug-And-Play Networks,2267,17
49,Engineer End-To-End Mindshare,8086,3
50,Reinvent Cutting-Edge Web-Readiness,772,4
51,Grow Real-Time Roi,2505,6
52,Disintermediate Web-Enabled Architectures,6917,20
53,Synergize Ubiquitous E-Commerce,1041,13
54,Benchmark Plug-And-Play Metrics,6253,20
55,Strategize Efficient Bandwidth,7669,17
56,Incentivize Killer Paradigms,4120,18
57,Aggregate Collaborative Markets,189,4
58,Orchestrate Cross-Platform Metrics,8798,9
59,Scale Viral Web Services,5574,4
60,Iterate E-Business Niches,4809,14
61,Seize Proactive Applications,2592,15
62,Evolve Clicks-And-Mortar E-Tailers,54,9
63,Streamline 24/365 Solutions,8202,6
64,Implement Magnetic Content,8318,4
65,Benchmark Synergistic E-Services,4890,17
66,Deploy Open-Source Action-Items,9978,7
67,Embrace Intuitive Architectures,2505,12
68,Extend Open-Source Convergence,2647,18
69,Revolutionize Bleeding-Edge Users,8690,1
70,Synthesize Plug-And-Play Solutions,9814,11
71,Deliver Clicks-And-Mortar Schemas,8006,1
72,Enable B2B Functionalities,1833,12
73,Envisioneer Integrated Info-Mediaries,5039,8
74,Engage Back-End Channels,950,8
75,Enhance Value-Added E-Tailers,9296,3
76,Envisioneer Visionary Mindshare,1404,16
77,Disintermediate Value-Added Portals,1134,18
78,Architect Wireless Solutions,2061,5
79,Cultivate Scalable Vortals,7788,18
80,Disintermediate Extensible Channels,2706,9
81,Deliver Real-Time E-Tailers,8646,20
82,Exploit Robust Functionalities,6933,7
83,Whiteboard Compelling Portals,8836,7
84,Re-Intermediate Open-Source Partnerships,5108,13
85,Enhance Holistic Convergence,6119,15
86,Morph World-Class Web-Readiness,8480,15
87,Facilitate Dot-Com Relationships,1983,8
88,E-Enable Clicks-And-Mortar Metrics,3682,3
89,Productize Rich Infrastructures,5540,1
90,Disintermediate Web-Enabled Functionalities,9639,18
91,Embrace Innovative Infrastructures,3771,19
92,Syndicate Killer Metrics,3609,1
93,Maximize Mission-Critical Functionalities,1164,2
94,Productize Interactive E-Services,3751,3
95,Extend Value-Added Info-Mediaries,515,11
96,Empower Vertical E-Markets,1161,17
97,Re-Intermediate B2C Portals,3900,9
98,Enable Extensible Interfaces,7954,7
99,Unleash Killer Content,8835,5
100,Architect Virtual Experiences,9356,19
